Ward,LocationCode,LocationName,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O'Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
12,12-036,Chateau Janeville - Adv 1,0,86,0,0,6,0,9,12,0,0,0,0,0,1,12,0,0,1,1,1,43,0
12,12-037,Montfort Place Apartments - Adv 1,0,99,4,0,4,0,13,13,0,0,0,0,1,1,18,0,0,1,0,0,43,1
12,12-038,Sandy Hill Community Centre - Adv 1,0,296,1,1,22,0,3,17,0,0,0,0,1,3,51,0,1,0,0,2,194,0
12,12-039,Richelieu-Vanier Centre - Adv 2,0,595,2,0,91,1,17,26,1,1,2,0,0,6,94,0,0,1,1,2,349,1
13,13-001,St. Bartholomew's Church,2458,1094,8,2,345,1,0,30,1,2,0,0,2,7,119,0,0,0,4,3,569,1
13,13-002,Rockcliffe Park Community Centre,2585,963,3,0,238,0,1,19,0,0,0,0,0,14,141,1,0,0,2,4,538,2
13,13-003,Manor Park Public School,2711,1205,1,4,275,0,3,34,0,2,0,2,1,12,157,2,1,0,3,1,707,0
13,13-004,East Gate Alliance Church,3780,760,7,0,150,1,4,29,0,1,0,1,2,4,107,2,1,1,4,7,436,3
13,13-005,College catholique Samuel-Genest,3780,1141,7,11,182,1,15,49,0,3,0,1,1,24,199,1,2,1,7,5,629,3
13,13-006,Montfort Long Term Care Centre,12,13,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0
13,13-007,Our Lady of Mount Carmel School,1773,544,9,4,78,1,8,30,1,2,1,0,2,16,105,3,1,0,6,5,271,1
13,13-008,St. Laurent Complex,2277,719,3,3,103,0,17,36,1,0,0,0,4,13,143,0,1,0,4,3,387,1
13,13-009,Queen Mary Public School,2956,657,9,11,107,2,23,27,1,1,2,0,0,8,103,2,0,1,4,3,352,1
13,13-010,Overbrook Community Centre,2615,972,8,2,267,0,15,54,1,1,0,1,1,9,156,1,1,1,4,2,447,1
13,13-011,New Edinburgh Square,58,63,0,0,10,0,0,0,0,1,0,0,0,1,6,0,0,0,1,0,43,1
13,13-012,The Edinburgh Retirement Residence,48,22,0,1,3,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,12,0
13,13-013,Presland Residences,68,37,0,0,1,0,4,3,0,0,1,1,1,3,9,0,1,2,0,1,9,1
13,13-014,Heritage Manor,177,115,0,0,11,0,5,1,0,0,0,0,0,0,12,0,0,2,0,2,82,0
13,13-015,Maison Accueil-Sagesse,96,67,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,59,0
13,13-016,Marochel Manor,235,24,0,0,3,1,5,0,0,0,0,0,1,0,2,0,1,0,1,0,9,1
13,13-017,Governor's Walk,60,32,0,0,1,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,21,0
13,13-018,Springfield Residence - Adv 1,0,29,0,0,3,1,0,1,0,0,0,0,0,0,20,0,0,0,0,0,4,0
13,13-019,Champlain Towers - Adv 1,0,66,0,0,8,0,1,9,1,0,0,0,0,0,7,0,0,1,0,0,38,1
13,13-020,St. Laurent Place - Adv 1,0,13,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0
13,13-021,Mario De Giovani Housing - Adv 1,0,52,0,0,1,0,2,3,1,0,0,0,0,3,12,0,0,0,2,0,28,0
13,13-022,Montfort Manor - Adv 1,0,60,0,1,0,0,5,4,1,0,0,0,0,0,12,0,0,0,1,0,36,0
13,13-023,Blackthorne Towers Apartments - Adv 1,0,17,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,14,0
